Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Myanmar,Myanmar,1967,EFConsTotGHA,487474.558082938,1299688.71074745,6683610.97198196,504643.153795578,6001363.22241886,354273.646366757,15331054.2633935,3A,MM
Myanmar,Myanmar,1967,BiocapTotGHA,487474.558082938,0,8944482.50369194,15584156.2574367,37978588.1250231,325574.276326189,63320275.7205608,3A,MM
Myanmar,Myanmar,1968,EFConsTotGHA,519154.033681461,1232607.49232842,8114771.80693928,525749.659102279,6071876.15110038,346196.77986662,16810355.9230184,3A,MM
Myanmar,Myanmar,1968,BiocapTotGHA,519154.033681461,0,9510800.07914565,15546445.8522103,37924799.1478545,320512.948554616,63821712.0614465,3A,MM
Myanmar,Myanmar,1969,EFConsTotGHA,527463.265955731,1117357.05077524,7329306.44621918,549617.639205527,6191505.86059056,332894.664871157,16048144.9276174,3A,MM
Myanmar,Myanmar,1969,BiocapTotGHA,527463.265955731,0,9528431.29767925,15513892.1339464,37806818.0242492,310459.77926343,63687064.501094,3A,MM
Myanmar,Myanmar,1970,EFConsTotGHA,545383.432303985,1680821.01855255,6912841.72820489,579467.099497777,6299225.25335601,335375.773757404,16353114.3056726,3A,MM
Myanmar,Myanmar,1970,BiocapTotGHA,545383.432303985,0,9386879.20247763,15509150.7379195,37823710.5133972,316333.451426249,63581457.3375246,3A,MM
Myanmar,Myanmar,1971,EFConsTotGHA,576775.858992624,1802572.12886298,6808739.10607068,594005.461963588,6409400.96852481,335438.616065422,16526932.1404801,3A,MM
Myanmar,Myanmar,1971,BiocapTotGHA,576775.858992624,0,9994880.32441326,15463886.9102159,37893169.5653735,314560.062344863,64243272.7213402,3A,MM
Myanmar,Myanmar,1972,EFConsTotGHA,561694.425768503,1609457.80238528,7174364.15148512,611160.682652531,6475677.41541148,319342.838197478,16751697.3159004,3A,MM
Myanmar,Myanmar,1972,BiocapTotGHA,561694.425768503,0,9614684.20038157,15454684.9822502,37945844.2479547,310124.598321259,63887032.4546762,3A,MM
Myanmar,Myanmar,1973,EFConsTotGHA,667303.575828454,1379022.48574257,8276159.83616453,628111.513501666,6613040.86514478,318512.597771442,17882150.8741534,3A,MM
Myanmar,Myanmar,1973,BiocapTotGHA,667303.575828454,0,9492157.05758499,15470961.4598931,37916723.5016472,307899.559779819,63855045.1547336,3A,MM
Myanmar,Myanmar,1974,EFConsTotGHA,658246.092142291,1568078.24125385,8405335.12080198,593104.855203076,6976822.20060889,317394.036850458,18518980.5468605,3A,MM
Myanmar,Myanmar,1974,BiocapTotGHA,658246.092142291,0,9555577.91347862,15429152.0571546,37980341.9095067,307067.478546134,63930385.4508283,3A,MM
Myanmar,Myanmar,1975,EFConsTotGHA,668194.061332939,1681888.28450782,8165418.46469264,660224.773392309,6992435.07716255,313544.345527605,18481705.0066159,3A,MM
Myanmar,Myanmar,1975,BiocapTotGHA,668194.061332939,0,9473957.50407755,15410269.6459157,38024081.8442013,306691.685087976,63883194.7406155,3A,MM
Myanmar,Myanmar,1976,EFConsTotGHA,711818.191583802,1687236.71984028,8471201.40389797,684878.038366559,7188881.25031375,315867.638414661,19059883.242417,3A,MM
Myanmar,Myanmar,1976,BiocapTotGHA,711818.191583802,0,10431202.4539864,15397787.6604812,37960852.7603166,306443.271449921,64808104.3378179,3A,MM
